ACCtrinom,SYNtri,grp,isTrinomial,notes,newTaxa,origFullText
Anastrophyllum_minutum,,hep,0,NA,NA,NA
Aneura_pinguis,,hep,0,NA,NA,NA
Aneura_pinguis,Aneura_sessilis,hep,0,NA,NA,NA
Aneura_pinguis,Anuira_pinguis,hep,0,NA,NA,NA
Aneura_pinguis,Riccardia_pinguis,hep,0,NA,NA,NA
Anthelia_juratzkana,,hep,0,NA,NA,NA
Anthelia_juratzkana,Anthelia_juratskana,hep,0,NA,NA,NA
Asterella_bolanderi,,hep,0,NA,NA,NA
Asterella_bolanderi,Fimbraria_bolanderi,hep,0,NA,NA,NA
Asterella_bolanderi,Fimbriaria_bolanderi,hep,0,NA,NA,NA
Asterella_californica,,hep,0,NA,NA,NA
Asterella_californica,Fimbraria_californica,hep,0,NA,NA,NA
Asterella_gracilis,,hep,0,NA,NA,NA
Asterella_palmeri,,hep,0,NA,NA,NA
Asterella_palmeri,Fimbraria_palmeri,hep,0,NA,NA,NA
Athalamia_hyalina,Clevea_hyalina,hep,0,NA,NA,NA
Barbilophozia_hatcheri,,hep,0,NA,NA,NA
Barbilophozia_hatcheri,Lophozia_baueriana,hep,0,NA,NA,NA
Barbilophozia_hatcheri,Lophozia_hatcheri,hep,0,NA,NA,NA
Bazzania_denudata,,hep,0,NA,NA,NA
Blasia_pusilla,,hep,0,NA,NA,NA
Blasia_pusilla,Blaisia_pusilla,hep,0,NA,NA,NA
Blasia_pusilla,Blasia_pusila,hep,0,NA,NA,NA
Blepharostoma_arachnoideum,,hep,0,NA,NA,NA
Blepharostoma_arachnoideum,Blepharostoma_arachnoidea,hep,0,NA,NA,NA
Blepharostoma_trichophyllum,,hep,0,NA,NA,NA
Blepharostoma_trichophyllum,Blepharostoma_trichophylla,hep,0,NA,NA,NA
Blepharostoma_trichophyllum,Blepharostomum_trichophyllum,hep,0,NA,NA,NA
Blepharostoma_trichophyllum,Blepharostrema_trichophyllum,hep,0,NA,NA,NA
Blepharostoma_trichophyllum,Blepharostroma_trichophyllum,hep,0,NA,NA,NA
Calypogeia_azurea,Calypogeia_trichomanis,hep,0,NA,NA,NA
Calypogeia_fissa_fissa,,hep,1,NA,NA,NA
Calypogeia_fissa_neogaea,,hep,1,NA,NA,NA
Calypogeia_integristipula,,hep,0,NA,NA,NA
Calypogeia_integristipula,Calypogeia_intergristipula,hep,0,NA,NA,NA
Calypogeia_integristipula,Calypogeja_integristipula,hep,0,NA,NA,NA
Calypogeia_muelleriana,,hep,0,NA,NA,NA
Calypogeia_muelleriana,Calypogeia_muelleriane,hep,0,NA,NA,NA
